epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.598,1.73341,2.94032,1.32021,0.31782,0.81446,0.51632,0.35055,1.02403,2.6927,0.88902,0.00032,0.00032,0.00032
2,293.417,1.65347,1.46896,1.13703,0.86729,0.74772,0.85858,0.57984,1.13128,1.69061,0.92586,0.000653466,0.000653466,0.000653466
3,439.062,1.57863,1.11677,1.09394,0.89766,0.88907,0.91009,0.60139,1.12299,0.9558,0.93084,0.0009802,0.0009802,0.0009802
4,590.525,1.45746,0.98111,1.08193,0.86808,0.9082,0.89857,0.55699,1.18646,0.82679,0.96011,0.0013002,0.0013002,0.0013002
5,738.096,1.47706,0.96325,1.08645,0.86002,0.91891,0.88848,0.63506,0.94345,0.81361,0.88982,0.00161347,0.00161347,0.00161347
6,880.502,1.40706,0.8777,1.04947,0.92054,0.91253,0.93236,0.68668,0.93471,0.67527,0.89201,0.001901,0.001901,0.001901
7,1025.85,1.42311,0.84428,1.06657,0.82115,0.91219,0.78829,0.54914,0.95169,0.74346,0.88851,0.0018812,0.0018812,0.0018812
8,1167.06,1.29998,0.77758,1.0269,0.92965,0.91788,0.94509,0.69226,0.9456,0.59851,0.89285,0.0018614,0.0018614,0.0018614
