epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.461,1.73358,2.93982,1.32004,0.32489,0.83257,0.54943,0.3786,1.02653,2.69263,0.8933,0.00032,0.00032,0.00032
2,411.879,1.65405,1.46585,1.1355,0.88109,0.74859,0.86827,0.58943,1.14925,1.67845,0.93347,0.000653466,0.000653466,0.000653466
3,605.896,1.58113,1.11471,1.09386,0.89658,0.89658,0.91171,0.6138,1.1057,0.9304,0.92888,0.0009802,0.0009802,0.0009802
