epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.992,1.66378,2.82388,1.35042,0.32338,0.8287,0.62096,0.43763,1.02321,2.59824,0.89714,0.00032,0.00032,0.00032
2,307.591,1.62718,1.36293,1.16259,0.89432,0.8049,0.87901,0.61782,1.09049,1.5583,0.92375,0.00059466,0.00059466,0.00059466
3,427.13,1.49784,1.07498,1.12683,0.83264,0.91845,0.84951,0.59569,1.01656,0.88446,0.92398,0.000802,0.000802,0.000802
4,544.039,1.42248,0.95517,1.07906,0.86424,0.91754,0.91146,0.65474,0.97707,0.74299,0.90985,0.00094202,0.00094202,0.00094202
5,663.077,1.38123,0.90732,1.08821,0.89637,0.92019,0.92415,0.66776,0.95885,0.68192,0.91604,0.00101472,0.00101472,0.00101472
6,783.879,1.30319,0.83126,1.04937,0.90777,0.92254,0.92891,0.69503,0.89224,0.67677,0.88964,0.00101,0.00101,0.00101
7,902.969,1.3772,0.85274,1.08191,0.92606,0.91856,0.93796,0.66825,1.01645,0.68177,0.91773,0.000812,0.000812,0.000812
8,1032.91,1.27847,0.79338,1.05212,0.92112,0.92483,0.94077,0.71053,0.88313,0.62458,0.88521,0.000614,0.000614,0.000614
9,1222.94,1.22985,0.75406,1.02215,0.9252,0.92631,0.94361,0.71265,0.88794,0.5973,0.88528,0.000416,0.000416,0.000416
10,1491.87,1.25136,0.73967,1.02063,0.92695,0.92756,0.94725,0.73056,0.84626,0.58871,0.87471,0.000218,0.000218,0.000218
